celltype,design,gene,lfc,padj
Endo,~grp,KDR,-1.3611,0.01944442075859772
Endo,~grp,LAMA4,-1.0805,0.04962999714247894
Endo,~grp,KITLG,-1.7792,0.06434614573516247
Endo,~grp,EFEMP1,2.8217,0.06774569267595247
Endo,~grp,DKK2,4.4494,0.07523513367612965
Endo,~grp,MMP28,-1.6673,0.07585088702356299
Endo,~grp,APP,-0.6187,0.08100092492421232
Endo,~grp,EDN3,-1.7989,0.08200645374817493
Endo,~pmi + grp,PRSS3,-2.7308,0.005608229263468046
Endo,~pmi + grp,APOD,3.7488,0.000946315853790156
Endo,~pmi + grp,PLAT,-2.0095,0.01706312933393761
Endo,~pmi + grp,KDR,-1.5962,0.04895733685494663
Endo,~pmi + grp,LAMA4,-1.0706,0.1536267636742376
Endo,~pmi + grp,KITLG,-1.5248,0.30788936669839295
Endo,~pmi + grp,EFEMP1,2.6242,0.23423884234220735
Endo,~pmi + grp,DKK2,4.2608,
Endo,~pmi + grp,MMP28,-2.1975,0.03757273790168981
Endo,~pmi + grp,APP,-0.5971,0.1869754149638882
Endo,~pmi + grp,EDN3,-1.888,0.18951304740464572
Endo,~arm + grp,PRSS3,-2.5044,0.00021994470835700588
Endo,~arm + grp,APOD,2.7612,0.02871185502208867
Endo,~arm + grp,PLAT,-1.764,0.009203545314045946
Endo,~arm + grp,KDR,-1.349,0.049213310040140526
Endo,~arm + grp,LAMA4,-1.1401,0.049213310040140526
Endo,~arm + grp,KITLG,-1.7326,0.13633264996744718
Endo,~arm + grp,EFEMP1,2.3733,0.21995578082693476
Endo,~arm + grp,DKK2,3.8921,0.13633264996744718
Endo,~arm + grp,MMP28,-1.7007,0.0957215060782943
Endo,~arm + grp,APP,-0.5775,0.12298619730013155
Endo,~arm + grp,EDN3,-1.7463,0.2003662599947081
Endo,~arm + pmi + grp,PRSS3,-2.6218,0.06305823343721335
Endo,~arm + pmi + grp,APOD,3.2437,0.019431723058167757
Endo,~arm + pmi + grp,PLAT,-1.9354,0.13462316336107213
Endo,~arm + pmi + grp,KDR,-1.5976,0.20419954202707064
Endo,~arm + pmi + grp,LAMA4,-1.1518,0.30642948419624877
Endo,~arm + pmi + grp,KITLG,-1.4822,0.6183055647315905
Endo,~arm + pmi + grp,EFEMP1,2.2425,0.6044215380579584
Endo,~arm + pmi + grp,DKK2,3.5689,0.43977354671481156
Endo,~arm + pmi + grp,MMP28,-2.2762,0.13462316336107213
Endo,~arm + pmi + grp,APP,-0.5346,0.5093390452807935
