celltype,gene,baseMean,lfc_frozen,lfc_MLE,lfcSE_MLE,lfc_shrunk,lfcSE_shrunk,padj,shrink_ratio,shrink_converged,lfc_shrunk_altparam,shrink_converged_altparam,altparam_absdiff,lfc_shrunk_repaired,ratio_repaired,z,failed
Astro,CRB2,72.08201926348812,0.9353093855035792,0.9353230472613628,0.2549547134542332,0.7726782799662612,0.2661509223822476,0.0403582167605983,0.8261084576378959,True,0.7710929416861478,True,0.0015853382801133,0.7726782799662612,0.8261084576378958,3.6685850384533576,False
Astro,COL8A1,9.81572683580368,1.533749038398641,1.533754614424105,0.4381502949594761,2.003778313047948,0.436794285530074,0.0580183572415423,1.3064529972418877,True,2.002449490483336,True,0.0013288225646115,2.003778313047948,1.306452997241888,3.5005216978479035,False
Astro,COL26A1,15.004318946992282,-1.2754589228940654,-1.275445303618755,0.3701967154602267,-1.0031959879131231,0.3988253867099797,0.0634036014056159,0.786545675511766,True,-1.0046911371453815,True,0.0014951492322583,-1.0046911371453815,0.7877179321565757,3.445317719886109,False
Astro,APOD,129.85189224704868,1.830846059254615,1.8308353879063644,0.5342246625998741,1.4295599695822965,0.5774403102919519,0.0635514458346146,0.7808238681780436,True,1.4231470199695906,True,0.0064129496127058,1.4295599695822965,0.7808238681780436,3.427088856205861,False
Astro,OTOS,9.069513713759266,2.2729447054413168,2.272966615617548,0.6645970276985458,1.6959067072301464,0.728471406564551,0.0638656640298653,0.7461203765939964,True,0.0375061245669813,True,1.6584005826631651,1.6959067072301464,0.7461203765939964,3.4200673805127844,True
Astro,KITLG,115.68709706221122,0.8336449859273987,0.8336583140025726,0.2451133337071414,0.6599007106153361,0.2583188842697887,0.0676068613505284,0.7915721579588297,True,0.6588462871655231,True,0.0010544234498129,0.6599007106153361,0.7915721579588297,3.401113686449298,False
Astro,FN1,157.51057470654905,-1.5109220921873712,-1.5109284792774536,0.4502144308722942,-1.166734868782258,0.488758100249928,0.0712009936935276,0.7721972845069454,True,-1.17115105004505,True,0.0044161812627918,-1.17115105004505,0.7751201106521668,3.3560196556783333,False
Astro,ANTXR2,121.60868963632367,0.6689456640714607,0.6689605340757804,0.200271976006796,0.5261661225303602,0.2107691819900531,0.0728076924673861,0.7865428462940621,True,0.5254997278588578,True,0.0006663946715024,0.5261661225303602,0.7865428462940621,3.340260317065429,False
Astro,PAPPA2,73.96019176671174,0.6674576145263538,0.6674693064250391,0.2030664713675275,0.5139581358255857,0.2166640784719235,0.0816680985742309,0.77001014260617,True,0.5131618075728444,True,0.0007963282527413,0.5139581358255857,0.77001014260617,3.2869498442064056,False
Astro,TAFA1,459.3806801342664,-1.0304044401947663,-1.0303933774872234,0.3134957158328814,-0.7861221830286347,0.339660092879872,0.0816680985742309,0.7629340407308494,True,-0.7887486578222977,True,0.002626474793663,-0.7887486578222977,0.7654830427441077,3.2867861519246615,False
