oid_a,oid_b,same_group,n_agree,n_markers,full_agreement
27,39,False,7,7,True
28,29,False,7,7,True
28,30,True,7,7,True
28,31,False,7,7,True
28,32,False,7,7,True
28,33,False,7,7,True
28,34,True,7,7,True
28,35,False,7,7,True
28,36,False,7,7,True
28,37,False,7,7,True
28,38,False,7,7,True
28,39,False,7,7,True
29,30,False,7,7,True
29,31,True,7,7,True
29,32,False,7,7,True
29,33,False,7,7,True
29,34,False,7,7,True
29,35,False,7,7,True
29,36,True,7,7,True
29,37,False,7,7,True
29,38,False,7,7,True
29,39,False,7,7,True
30,31,False,7,7,True
30,32,False,7,7,True
30,33,False,7,7,True
30,34,True,7,7,True
30,35,False,7,7,True
30,36,False,7,7,True
30,37,False,7,7,True
30,38,False,7,7,True
30,39,False,7,7,True
31,32,False,7,7,True
31,33,False,7,7,True
31,34,False,7,7,True
31,35,False,7,7,True
31,36,True,7,7,True
31,37,False,7,7,True
31,38,False,7,7,True
31,39,False,7,7,True
32,33,False,7,7,True
32,34,False,7,7,True
32,35,True,7,7,True
32,36,False,7,7,True
32,37,True,7,7,True
32,38,True,7,7,True
32,39,False,7,7,True
33,34,False,7,7,True
33,35,False,7,7,True
33,36,False,7,7,True
33,37,False,7,7,True
33,38,False,7,7,True
33,39,True,7,7,True
34,35,False,7,7,True
34,36,False,7,7,True
34,37,False,7,7,True
34,38,False,7,7,True
34,39,False,7,7,True
35,36,False,7,7,True
35,37,True,7,7,True
35,38,True,7,7,True
35,39,False,7,7,True
36,37,False,7,7,True
36,38,False,7,7,True
36,39,False,7,7,True
37,38,True,7,7,True
37,39,False,7,7,True
38,39,False,7,7,True
