EntrezGeneSymbol,Estimate
ASF1A,4.034926430523773e-05
ASF1B,0.0007274014205000195
ASGR1,-0.0005271685897156713
ASGR2,0.0005445409770945199
ASH1L,0.0001295763138664761
ASH2L,-8.866334473025706e-05
ASIC4,-7.222106862228092e-05
ASIP,3.136847701355669e-05
ASL,0.00353847016192739
ASMTL,-0.0001280755985310583
ASPA,0.0009511965352689451
ASPH,0.002593211702075339
ASPN,0.005991624740846023
ASPSCR1,-0.0003101873088661149
ASRGL1,-6.831643729138218e-05
ASTL,-6.062480420196279e-05
ATAD1,-0.001043422461506395
ATAD2,1.695886028847917e-05
ATE1,0.00158831710605694
ATF1,-0.0002085436813697569
ATF3,-0.0002132546491066335
ATF5,0.0003835860695929165
ATF6,0.003181446732488016
ATF6B,0.002583802884837054
ATG3,-0.001171713198773767
ATG4A,-0.0006148021333650674
ATG4B,0.0002408572450412797
ATG4C,-8.667335583803073e-05
ATG5,-0.0005320823651692797
ATG7,-0.0001896296298889332
ATIC,0.001544361755786485
ATL3,2.015349219620482e-05
ATOH1,-2.071612624354673e-05
ATOX1,0.004565956970045836
ATP13A1,0.002186179084021746
ATP1B1,0.001119730964693277
ATP1B2,0.001825229165402308
ATP1B4,-0.0001103854832422259
ATP23,0.0004325303296863183
ATP2A3,0.0004040806888596907
ATP4B,-3.82090963522315e-05
ATP5F1B,-0.000562995739037281
ATP5IF1,7.839030949537269e-05
ATP5MF,0.0001964754457901783
ATP5PB,0.001323539680423602
ATP5PF,0.001203219686391568
ATP5PO,-0.0009677730052512644
ATP6V1C1,-0.0004791983883815532
ATP6V1C2,0.001164100080039295
ATP6V1F,0.003220273199346808
ATRN,0.002251028872911473
ATXN10,-0.0001729462727752601
ATXN3,0.001724297604970799
AUH,0.001138092533725807
AURKA,-2.030200109238791e-05
AURKB,-0.0001419218213027402
AVEN,-1.219176692039266e-05
AXIN2,-0.0009631152974421384
AZGP1,0.002815360317795698
AZIN1,-0.0009750449139120344
AZU1,-0.001181874668969445
B2M,-0.0013184129124877
B3GALT1,-0.0001127923835031898
B3GALT2,0.0006659454561492506
B3GALT5,0.001582588072066821
B3GALT6,0.0008848835914740076
B3GAT1,-0.0004474767824026872
B3GAT3,0.0003881671259009364
B3GLCT,-0.0007570386051152826
B3GNT2,0.003329822556120717
B3GNT4,6.938573254315835e-05
B3GNT6,-5.884295896920623e-05
B3GNT8,0.002386623907925736
B4GALNT1,0.0007139051296375318
B4GALT1,0.0035467207423773
B4GALT2,0.004523924734221119
B4GALT3,-2.398072573567644e-05
B4GALT5,-1.221744634960392e-05
B4GALT6,0.002604705672524567
B4GALT7,0.001553531211112191
B9D2,0.001116960123611714
BACH1,0.0001480434296400735
BACH2,0.0003944661510080903
BAD,-0.0003733892194507567
BAG1,-7.193574369580774e-05
BAG2,0.001329223614125941
BAG3,-0.0001803355644983157
BAG4,-0.0002981096140625387
BAG5,4.364684169538987e-05
BAG6,0.003639255241099149
BAGE2,-6.709242105543377e-05
BAGE3,0.00344431482932312
BAIAP2,-0.0005718904816439515
BAMBI,0.001560225915762373
BAP1,-0.0003181527573897
BAP18,0.000266911124306944
BARD1,9.593117751616606e-05
BASP1,0.003396301770857221
BATF,0.0001944684132360387
BATF3,-0.0002209799705227251
BCAM,0.002550353766288478
BCAN,0.001800971117123183
