gene,Beta
ARL6,-0.0585422196541611
ARL6IP5,-0.163295990918363
ARL8A,-0.443282419070525
ARL8B,-1.03837531235254
ARMC1,0.89139470287223
ARMC10,0.418452270578364
ARMCX3,0.0567991856820712
ARPC1A,0.183997107400414
ARPC2,-0.130702825997509
ARPC3,-0.928871469037655
ARPC4,0.145221630605611
ARPC5,-1.216137396997
ARPC5L,1.26430781912507
ARPP19,0.316241959513065
ARPP21,-0.179967337770362
ARRB1,-1.43317890397556
ARRB2,0.141144749610887
ARSB,0.0952775763273381
ASAH1,-0.302950182038634
ASAP1,1.27045862146125
ASAP2,-0.0979559205423867
ASL,0.287465225521124
ASMTL,0.0379632894500423
ASNA1,-0.0163007047065747
ASPA,-0.351734403635365
ASPH,-0.19033406179697
ASPSCR1,-0.171331469882895
ASRGL1,-0.389623234248598
ASS1,-0.0476244749816617
ASTN1,0.135319128798173
ATAD1,-0.0146928438716641
ATAD3A,0.978399229669726
ATAT1,-0.0853384194655785
ATCAY,2.05215112289285
ATE1,-0.189828052149462
ATG2B,-0.135891906307551
ATG3,-1.39257700736946
ATG4B,0.255182927107595
ATG4D,0.0119971805751986
ATG5,0.265360454096469
ATG7,0.456550285671428
ATG9A,-0.177686278007487
ATIC,-2.1221877034709
ATL1,2.36474326667792
ATL2,0.146691860835149
ATL3,-0.171623436645206
ATOX1,0.0523809447575695
ATP12A,1.79458529011282
ATP13A1,0.078941731452835
ATP1A1,1.58203459919487
ATP1A2,1.7055560577672
ATP1A3,1.91450139588558
ATP1B1,1.82972567245759
ATP1B2,0.886776482796331
ATP1B3,0.157131143142492
ATP2A2,1.78314323091004
ATP2B1,1.013257634715809
ATP2B2,0.45101638746518613
ATP2B3,0.0659822204246208
ATP2B4,-0.462143238200053
ATP5A1,0.4799629586987925
ATP5B,0.31485179015125
ATP5C1,1.40702943660427
ATP5D,0.667444971489034
ATP5E,-0.217589271769354
ATP5F1,0.885245393911005
ATP5H,1.91323997465414
ATP5I,0.299195928539242
ATP5J,1.32964982722087
ATP5J2,0.198440884086926
ATP5L,0.629293355700474
ATP5O,1.22844866788612
ATP5S,0.333234552929792
ATP6AP1,0.211182516113154
ATP6AP2,0.163602190164539
ATP6V0A1,2.65890841010962
ATP6V0C,0.209896374577034
ATP6V0D1,3.44497064012699
ATP6V0D2,0.473215779227471
ATP6V1A,3.25774165329973
ATP6V1B2,2.48543261105171
ATP6V1C1,3.32739880799517
ATP6V1D,2.72988966189747
ATP6V1E1,0.607433386312815
ATP6V1F,0.811694609814667
ATP6V1G1,-0.390537807234157
ATP6V1G2,0.905289135640021
ATP6V1H,1.27576841120846
ATP8A1,-1.32754177326769
ATP9A,-0.652255172733091
ATPAF1,-0.146415207439102
ATPIF1,0.207610654747441
ATXN10,-0.160639237335809
ATXN2L,-0.173021479595647
AUH,0.889621012488492
AVL9,1.34409749228084
B2M,-0.235264347368264
B3GALTL,-0.26606544056011
B4DLN1,0.248077799057877
B4GAT1,-0.37859206920344
BABAM1,0.0163485969253682
BAG3,-0.663363581705059
BAG5,0.100966578736027
BAG6,-0.635936387114849
BAIAP2,2.87791284388158
BANF1,0.0892313041301804
BASP1,0.920265577695921
BAX,0.0249508280082209
BBOX1,-0.824230463062599
BCAM,0.456005061692334
BCAN,0.364804217656525
BCAP29,0.293861105017853
BCAP31,-0.169891934791933
BCAS1,-0.544873702163505
BCAS3,0.767590305581243
BCAT1,0.110694983585687
BCKDHB,0.569749848481752
BCKDK,-0.153445879562234
BCL2L1,0.182978328530939
