tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
TEAD4,32,HA,3271,23899,46830,3108088,40964,0.163665810349342,0.367814201643197,Micro
TEAD4,35,HA,5204,37125,73039,5255558,40964,0.129942948144931,0.339260757734111,Micro
TEAD4,37,HA,2970,21955,43077,3091660,40964,0.180232161051178,0.340135033208647,Micro
TEAD4,39,YA,55,375,749,50506,40964,0.0421475815784652,0.36202326915051,Micro
TEAD4,43,YA,1902,13911,27311,2091254,40964,0.164095979150825,0.318807448926615,Micro
TEAD4,44,HA,7905,57454,112798,6855626,40964,0.156971647256235,0.401653841202308,Micro
TEAD4,45,YA,2376,17437,33890,2338594,40964,0.169445553854041,0.353764606408125,Micro
TEAD4,47,YA,627,4479,8768,707422,40964,0.126642103611793,0.302565650347663,Micro
CEBPB,2,YA,156,1010,2080,427878,8594,-0.00773564877960531,0.56565030869392,Endo
CEBPB,7,YA,204,1306,2652,609070,8594,-0.0221114056612549,0.506653400346028,Endo
CEBPB,11,HA,643,4252,8525,2103624,8594,0.0202658892410117,0.471553444274104,Endo
CEBPB,14,HA,46,425,811,181186,8594,0.321519919742218,0.52083584733497,Endo
CEBPB,15,HA,2117,14044,27762,5504242,8594,0.0254758245993588,0.586891582464856,Endo
CEBPB,16,HA,261,2141,4212,897310,8594,0.300301507618199,0.546198502898951,Endo
CEBPB,28,HA,246,1834,3619,944074,8594,0.173764507661587,0.446053751710924,Endo
CEBPB,29,YA,398,2905,5793,1442658,8594,0.152457516257376,0.467245137795556,Endo
CEBPB,30,YA,314,2449,4779,914812,8594,0.237853230836808,0.607868765544161,Endo
CEBPB,32,HA,74,705,1299,322474,8594,0.40669805049748,0.468726056947995,Endo
CEBPB,35,HA,1659,11956,23696,6002596,8594,0.142795599912175,0.45934667528993,Endo
CEBPB,37,HA,84,428,830,209548,8594,-0.250297204922016,0.46089205628619,Endo
CEBPB,39,YA,130,857,1725,410382,8594,0.0135548235127998,0.489108765877394,Endo
CEBPB,43,YA,137,1119,2229,641290,8594,0.271082156103148,0.404445726945252,Endo
CEBPB,44,HA,248,1817,3530,865392,8594,0.151288711137366,0.474642343843766,Endo
CEBPB,45,YA,846,5955,11565,3164364,8594,0.107563648405435,0.42526912413541,Endo
CEBPB,47,YA,49,312,655,233616,8594,-0.0203187180584037,0.326244626337595,Endo
IRF1,2,YA,1346,28913,54124,427878,326008,1.6981469818223,0.388008885138852,Endo
IRF1,7,YA,1833,39827,74120,609070,326008,1.72055663745976,0.373284489290919,Endo
IRF1,11,HA,6273,119669,224092,2103624,326008,1.54505615707523,0.326760820725821,Endo
IRF1,14,HA,677,13447,24683,181186,326008,1.56488691243058,0.417873709568841,Endo
IRF1,15,HA,18808,383691,722624,5504242,326008,1.64489478974016,0.402704612573214,Endo
IRF1,16,HA,2985,61754,114720,897310,326008,1.65652049784893,0.392164586458105,Endo
IRF1,28,HA,2347,52927,97833,944074,326008,1.77766376593745,0.317871123161209,Endo
IRF1,29,YA,4063,89088,164925,1442658,326008,1.74290043046563,0.350666958791165,Endo
IRF1,30,YA,3210,70100,131483,914812,326008,1.73503963453632,0.440868931166127,Endo
IRF1,32,HA,947,19828,36242,322474,326008,1.65216897338292,0.344738028697605,Endo
IRF1,35,HA,17320,349403,652675,6002596,326008,1.62861992786449,0.333525931578132,Endo
IRF1,37,HA,533,11603,21199,209548,326008,1.68354389635229,0.310315591805297,Endo
IRF1,39,YA,1313,27905,51870,410382,326008,1.68230926031921,0.38770346894662,Endo
IRF1,43,YA,1683,35714,65772,641290,326008,1.68517249774184,0.314599713570038,Endo
IRF1,44,HA,2633,55474,102749,865392,326008,1.68137440569184,0.364197089044358,Endo
IRF1,45,YA,7751,172324,317589,3164364,326008,1.7665138322913,0.307858223755646,Endo
IRF1,47,YA,478,10436,19117,233616,326008,1.68140230317923,0.25100877202027,Endo
NFKB1,2,YA,1089,7128,14212,427878,28431,0.00629929371128802,1.16826968186872,Endo
NFKB1,7,YA,1520,9868,19802,609070,28431,-0.00522208050686315,1.14353565993153,Endo
NFKB1,11,HA,5040,30217,59494,2103624,28431,-0.119384625471712,0.994747638435031,Endo
NFKB1,14,HA,527,3259,6480,181186,28431,-0.0711632580286595,1.25793509388268,Endo
