"ligand","pearson","z","pct","perm_p","perm_padj","is_aging_up_secretome_ligand","receiver"
"COL6A6",0.0248558914187865,NA,0.860522022838499,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"NRG4",0.0248435754305311,NA,0.859706362153344,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"COL5A2",0.0247962681485481,NA,0.858890701468189,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"TNN",0.0247543154419116,NA,0.858075040783034,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"TNFSF18",0.0247136942806811,NA,0.857259380097879,0.00449775112443778,0.0229572713643178,FALSE,"Astro"
"FAM3B",0.0246791636433875,NA,0.856443719412724,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"ADGRB1",0.0246469199095853,NA,0.855628058727569,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"TG",0.0246354697305099,NA,0.854812398042414,0.00549725137431284,0.0235459193480183,FALSE,"Astro"
"NMB",0.0246154405003185,NA,0.853996737357259,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"CCL4L1",0.0245489410228144,NA,0.853181076672104,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"FGL1",0.0245417102291835,NA,0.852365415986949,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"CNTN4",0.0245087271154369,NA,0.851549755301794,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"CEACAM5",0.0244923386062301,NA,0.85073409461664,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"CLUL1",0.0244061917226494,NA,0.849918433931484,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"FGFRL1",0.0243482273483677,NA,0.84910277324633,0.00499750124937531,0.0231891629942604,FALSE,"Astro"
"NAALADL1",0.0243342005000511,NA,0.848287112561175,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"LRIG1",0.0243285852750061,NA,0.84747145187602,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"ANGPT2",0.0242493552425963,NA,0.846655791190865,0.0149925037481259,0.0355238241614203,FALSE,"Astro"
"FAM3D",0.0242106547963178,NA,0.84584013050571,0.00449775112443778,0.0229572713643178,FALSE,"Astro"
"COL27A1",0.0241653105847224,NA,0.845024469820555,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"CMTM8",0.0241533730090558,NA,0.8442088091354,0.00499750124937531,0.0231891629942604,FALSE,"Astro"
"EFNA4",0.0241484685205411,NA,0.843393148450245,0.00849575212393803,0.0279766030963013,FALSE,"Astro"
"MMP16",0.0241313833427715,NA,0.84257748776509,0.00499750124937531,0.0231891629942604,FALSE,"Astro"
"BCAN",0.0240940653162779,NA,0.841761827079935,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"CRB3",0.024085111977981,NA,0.84094616639478,0.00449775112443778,0.0229572713643178,FALSE,"Astro"
"PCSK9",0.0240225271977465,NA,0.840130505709625,0.00849575212393803,0.0279766030963013,FALSE,"Astro"
"C10orf99",0.0239808018985785,NA,0.83931484502447,0.00449775112443778,0.0229572713643178,FALSE,"Astro"
"MICA",0.0239570960849981,NA,0.838499184339315,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"NCAM1",0.0239541092478948,NA,0.83768352365416,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"DSG2",0.0239450096414116,NA,0.836867862969005,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"COL6A2",0.0239279276700785,NA,0.83605220228385,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"FGF11",0.0239176625993689,NA,0.835236541598695,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"FGF20",0.0239009374531602,NA,0.83442088091354,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"SEMA4C",0.0238793776813243,NA,0.833605220228385,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"PTPRK",0.0238600770739904,NA,0.83278955954323,0.00399800099950025,0.0226738482610547,FALSE,"Astro"
"NRG3",0.023833541205853,NA,0.831973898858075,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"DEFB106B",0.0238149791100222,NA,0.83115823817292,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"IL24",0.0238129149973899,NA,0.830342577487765,0.00399800099950025,0.0226738482610547,FALSE,"Astro"
"TNFSF9",0.0238020195505833,NA,0.82952691680261,0.00599700149925037,0.0243255855515951,FALSE,"Astro"
"IGFL1",0.0237715602187626,NA,0.828711256117455,0.0079960019990005,0.0272844079353081,FALSE,"Astro"
"CCL7",0.0237484785967848,NA,0.8278955954323,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
