motif,mapped_gene,family,celltype,dz,cv_p,cv_padj,is_foreground
PROP1,PROP1,other,Astro,0.0140510300403739,0.900333422928459,0.991149663849938,False
PRRX1,PRRX1,other,Astro,-0.190988611803952,0.429228099066499,0.979336604887158,False
RAX2,RAX2,homeobox-other,Astro,-0.190988611803952,0.429228099066499,0.979336604887158,False
RAX,RAX,homeobox-other,Astro,-0.138644434968865,0.483282046522506,0.979336604887158,False
RHOXF1,RHOXF1,other,Astro,0.0620824339439835,0.462051282668344,0.979336604887158,False
UNCX,UNCX,other,Astro,-0.145321062996679,0.504417230517086,0.979336604887158,False
VAX1,VAX1,homeobox-other,Astro,-0.102104944844535,0.478756511926337,0.979336604887158,False
VAX2,VAX2,homeobox-other,Astro,-0.102104944844535,0.478756511926337,0.979336604887158,False
VENTX,VENTX,other,Astro,-0.0717695191346535,0.225100442412754,0.979336604887158,False
VSX1,VSX1,homeobox-other,Astro,-0.04459169919107,0.721402996807502,0.979336604887158,False
VSX2,VSX2,homeobox-other,Astro,-0.04459169919107,0.721402996807502,0.979336604887158,False
ESR1,ESR1,NR,Astro,-0.0361790164195493,0.711385286140152,0.979336604887158,False
ESRRB,ESRRB,NR,Astro,-0.150193742940546,0.185408769962093,0.979336604887158,False
NR2F1,NR2F1,NR,Astro,0.0057173523778129,0.955760675816901,0.995976016570843,False
NR3C1,NR3C1,NR,Astro,-0.357267963441062,0.120791447796659,0.979336604887158,False
NR3C2,NR3C2,NR,Astro,-0.374125891916953,0.115505558183709,0.979336604887158,False
RARA,RARA,NR,Astro,-0.007186964032029,0.931431248836082,0.995976016570843,False
RARA(var.2),RARA,NR,Astro,-0.045079781532286,0.688660738216779,0.979336604887158,False
BCL6B,BCL6B,other,Astro,-0.048943349803188,0.555736373957241,0.979336604887158,False
EGR2,EGR2,EGR-WT1,Astro,-0.0455809267771957,0.728997576116956,0.979336604887158,False
EGR3,EGR3,EGR-WT1,Astro,-0.0859121283453343,0.520428270803432,0.979336604887158,False
EGR4,EGR4,EGR-WT1,Astro,-0.0534943972858902,0.692684921808096,0.979336604887158,False
GLIS1,GLIS1,other,Astro,0.0518422661606331,0.599209274529801,0.979336604887158,False
GLIS2,GLIS2,other,Astro,0.0203235474061734,0.873214797334406,0.988541523911787,False
GLIS3,GLIS3,other,Astro,-0.0423733080744839,0.714644998301986,0.979336604887158,False
HIC2,HIC2,other,Astro,-0.0736155334212639,0.47712454062906,0.979336604887158,False
KLF14,KLF14,KLF-SP,Astro,-0.0293277098012142,0.862451160169934,0.988541523911787,False
KLF16,KLF16,KLF-SP,Astro,-0.0825167048487093,0.519022532574612,0.979336604887158,False
SP8,SP8,KLF-SP,Astro,-0.0546193818876758,0.699259096581038,0.979336604887158,False
ZBED1,ZBED1,other,Astro,0.0414505521700523,0.414808612067599,0.979336604887158,False
ZIC4,ZIC4,other,Astro,0.0211285298473847,0.861053067654984,0.988541523911787,False
ZNF143,ZNF143,ZNF-KRAB,Astro,-0.204147568974897,0.0338936054981376,0.979336604887158,True
ZNF410,ZNF410,ZNF-KRAB,Astro,-0.0657766859499676,0.44633126856759,0.979336604887158,False
CUX1,CUX1,other,Astro,-0.0626911555327072,0.381259672075124,0.979336604887158,False
CUX2,CUX2,other,Astro,-0.0366247278286333,0.666919224018514,0.979336604887158,False
ONECUT2,ONECUT2,other,Astro,-0.0300702937752754,0.741364710373934,0.979336604887158,False
ONECUT3,ONECUT3,other,Astro,0.016045987969533,0.87113132082267,0.988541523911787,False
E2F7,E2F7,E2F-DP,Astro,-0.0030959793191389,0.967464171881011,0.995976016570843,False
ELK3,ELK3,ETS,Astro,-0.132354476895034,0.280676214784541,0.979336604887158,False
ERF,ERF,other,Astro,-0.161617819177706,0.110550978964993,0.979336604887158,False
ERG,ERG,ETS,Astro,-0.141907946196393,0.158001247941077,0.979336604887158,False
ETS1,ETS1,ETS,Astro,-0.16872646554637,0.112467964647911,0.979336604887158,False
