gene	celltype	frozen_direction	frozen_log2FC	baseMean	betaConv	HA_YA_LFC_coef	AD_HA_LFC_coef	AD_YA_LFC_coef	coefficient_identity_error	HA_YA_LFC_raw	AD_HA_LFC_raw	AD_YA_LFC_raw	results_identity_error	HA_YA_LFC_ashr	AD_HA_LFC_ashr	AD_YA_LFC_ashr	A_raw	D_raw	T_raw_sum	T_raw_direct	raw_identity_error	A	D	T_class	T_direct_shrunk	T_discrepancy	delta_final	category_margin_D_minus_delta	aging_projection_status	trajectory_category	trajectory_subflag	trajectory_category_rawLFC	pvalue_HA_YA	padj_HA_YA	pvalue_AD_HA	padj_AD_HA	pvalue_AD_YA	padj_AD_YA
SPON1	Micro	UP	2.1533314778843	62.0290501686375	True	2.1093423414764	0.725153406314117	2.83449574779051	0.0	2.1093423414764	0.725153406314117	2.83449574779051	4.44089209850063e-16	0.927184322195163	0.0696451418687575	2.1062075621935	2.1093423414764	0.725153406314117	2.834495747790517	2.83449574779051	-7.105427357601002e-15	0.927184322195163	0.0696451418687575	0.9968294640639205	2.1062075621935	1.1093780981295795	0.4635921610975815	-0.393947019228824	eligible	maintained		maintained	0.0003772672044901	0.0423179275893708	0.16666159164266	0.610955558078708	1.57832909536273e-06	0.0003249299246322
ASAH1	Micro	UP	0.856175618491941	124.153185091724	True	0.867785977186291	0.247041267059862	1.11482724424615	0.0	0.867785977186291	0.247041267059862	1.11482724424615	0.0	0.704995297753429	0.0748938052620044	1.01134853275004	0.867785977186291	0.247041267059862	1.114827244246153	1.11482724424615	-3.1086244689504383e-15	0.704995297753429	0.0748938052620044	0.7798891030154333	1.01134853275004	0.23145942973460665	0.3524976488767145	-0.2776038436147101	eligible	maintained		maintained	4.0210270214519e-05	0.0128194465293437	0.185155048284624	0.634190741278638	1.308590874863e-07	4.89171930984971e-05
CYTL1	Micro	UP	1.59881962995121	21.671585730953	True	1.59311272567635	-0.363928381514262	1.22918434416209	0.0	1.59311272567635	-0.363928381514262	1.22918434416209	0.0	0.930468764582445	-0.05044742572015	0.626428723932596	1.59311272567635	-0.363928381514262	1.229184344162088	1.22918434416209	1.9984014443252818e-15	0.930468764582445	-0.05044742572015	0.8800213388622949	0.626428723932596	-0.253592614929699	0.4652343822912225	-0.5156818080113725	eligible	maintained		maintained	0.0003474747552967	0.0417564381147297	0.321381670108523	0.750282970998165	0.0056213800059305	0.0752794885358622
LUZP2	Micro	DOWN	-1.93394739586832	12.5819468668859	True	-2.05287318581166	0.240861697703504	-1.81201148810815	0.0	-2.05287318581166	0.240861697703504	-1.81201148810815	2.2204460492503099e-16	-1.4176097444709	0.0234097546226656	-1.32905853740636	2.05287318581166	-0.240861697703504	1.8120114881081557	1.81201148810815	-5.773159728050814e-15	1.4176097444709	-0.0234097546226656	1.3941999898482342	1.32905853740636	-0.0651414524418743	0.70880487223545	-0.7322146268581156	eligible	maintained		maintained	9.42742941636695e-06	0.0065448983842136	0.602147487568066	0.895018648954019	0.0001260037828057	0.006790660261726
APOE	Micro	UP	1.12142528562379	278.21090300392	True	1.11974424906643	0.206416349566801	1.32616059863323	0.0	1.11974424906643	0.206416349566801	1.32616059863323	0.0	0.691130682020296	0.0321464194521241	1.05397566077709	1.11974424906643	0.206416349566801	1.326160598633231	1.32616059863323	-8.881784197001252e-16	0.691130682020296	0.0321464194521241	0.7232771014724202	1.05397566077709	0.33069855930466985	0.345565341010148	-0.3134189215580239	eligible	maintained		maintained	0.0008162522867777	0.0584148682862826	0.514630680734257	0.857760526892565	8.60564581489024e-05	0.0053615438070401
PRSS3	Endo	DOWN	-2.56405170214645	6.09598106171318	True	-2.56142169871658	1.17377130495373	-1.38765039376285	0.0	-2.56142169871658	1.17377130495373	-1.38765039376285	0.0	-2.27036407009935	0.0588192847422589	-0.244432110674468	2.56142169871658	-1.17377130495373	1.38765039376285	1.38765039376285	0.0	2.27036407009935	-0.0588192847422589	2.2115447853570913	0.244432110674468	-1.9671126746826233	1.135182035049675	-1.194001319791934	eligible	maintained		maintained	4.56553646672602e-08	0.0002127996547141	0.0343627140653399	0.912498137571731	0.0065422352683416	0.278225550906263
APOD	Endo	UP	3.24950210997951	132.4646398276	True	3.2425167956802	0.425648001462456	3.66816479714266	0.0	3.2425167956802	0.425648001462456	3.66816479714266	0.0	1.95871097300534	0.0125971175990885	2.47546922892881	3.2425167956802	0.425648001462456	3.6681647971426563	3.66816479714266	3.552713678800501e-15	1.95871097300534	0.0125971175990885	1.9713080906044285	2.47546922892881	0.5041611383243816	0.97935548650267	-0.9667583689035815	eligible	maintained		maintained	6.73871484878747e-06	0.0083620512771312	0.552381386826423	0.999912670487749	1.26491887996852e-06	0.0029869794431576
PLAT	Endo	DOWN	-1.81225235430244	22.3720479244077	True	-1.79719627130372	0.441888088474282	-1.35530818282944	0.0	-1.79719627130372	0.441888088474282	-1.35530818282944	0.0	-1.30827789057322	0.0342419031603169	-0.398456640161856	1.79719627130372	-0.441888088474282	1.355308182829438	1.35530818282944	1.9984014443252818e-15	1.30827789057322	-0.0342419031603169	1.274035987412903	0.398456640161856	-0.875579347251047	0.65413894528661	-0.6883808484469269	eligible	maintained		maintained	3.66697499422044e-06	0.0061055941336427	0.301012420243728	0.999912670487749	0.0012486364146844	0.14521582967038
KDR	Endo	DOWN	-1.36106077136744	19.1316606797822	True	-1.31890907573302	-0.415300105599421	-1.73420918133244	0.0	-1.31890907573302	-0.415300105599421	-1.73420918133244	0.0	-0.761681769747216	-0.04326628406762	-1.43765662004663	1.31890907573302	0.415300105599421	1.734209181332441	1.73420918133244	-8.881784197001252e-16	0.761681769747216	0.04326628406762	0.804948053814836	1.43765662004663	0.6327085662317941	0.380840884873608	-0.337574600805988	eligible	maintained		maintained	1.47432199826076e-05	0.0127680513206953	0.250654282686546	0.999912670487749	1.00061138610537e-06	0.0029535546589365
LAMA4	Endo	DOWN	-1.08048787202753	49.3982772155727	True	-1.05118468034682	0.162252929979105	-0.88893175036772	0.0	-1.05118468034682	0.162252929979105	-0.88893175036772	0.0	-0.553890664447476	0.0239058986409598	-0.323668174891525	1.05118468034682	-0.162252929979105	0.8889317503677151	0.88893175036772	4.884981308350689e-15	0.553890664447476	-0.0239058986409598	0.5299847658065162	0.323668174891525	-0.20631659091499122	0.276945332223738	-0.30085123086469784	eligible	maintained		maintained	8.25960141959582e-05	0.0398255195345546	0.574415252746217	0.999912670487749	0.0021482862971475	0.187603811800551
