"tf","celltype","contrast","dz","p","padj"
"TFAP2B(var.2)","Astro","HAvYA",0.0489042594443489,0.707849908591709,0.979336604887158
"TFAP2B(var.3)","Astro","HAvYA",-0.0570382919546059,0.644654283836885,0.979336604887158
"TFAP2C","Astro","HAvYA",-0.0500514887797385,0.708797727241759,0.979336604887158
"TFAP2C(var.3)","Astro","HAvYA",-0.0395023091048142,0.741221809767298,0.979336604887158
"BHLHE40","Astro","HAvYA",0.0129769140715739,0.890346764283976,0.988541523911787
"BHLHE23","Astro","HAvYA",-0.195007181591767,0.165816196311495,0.979336604887158
"BHLHE22","Astro","HAvYA",-0.185438808969109,0.126563269451813,0.979336604887158
"CLOCK","Astro","HAvYA",-0.0818676258174243,0.311113744397588,0.979336604887158
"FIGLA","Astro","HAvYA",-0.00957974614809713,0.954335458883449,0.995976016570843
"HES5","Astro","HAvYA",-0.00497034503178721,0.937453131809836,0.995976016570843
"HES7","Astro","HAvYA",0.0142283069387237,0.82409553817948,0.981315537512654
"HEY1","Astro","HAvYA",0.0202270494534729,0.850283274856794,0.988541523911787
"MAX","Astro","HAvYA",0.000432979764241503,0.995820698605755,0.997936725356572
"MNT","Astro","HAvYA",-0.00991015051664723,0.914612250110203,0.992613754768314
"OLIG1","Astro","HAvYA",-0.177205250780493,0.170170756384347,0.979336604887158
"OLIG3","Astro","HAvYA",-0.158186962946951,0.227146764520651,0.979336604887158
"SREBF2(var.2)","Astro","HAvYA",0.111079605616607,0.309509126205687,0.979336604887158
"ATF7","Astro","HAvYA",0.114077358971293,0.516664635030188,0.979336604887158
"CEBPB","Astro","HAvYA",0.163756779207196,0.0944790635892654,0.979336604887158
"CEBPE","Astro","HAvYA",0.167906828214395,0.0792350212765651,0.979336604887158
"CEBPG","Astro","HAvYA",0.179886898257045,0.0960035873647752,0.979336604887158
"CREB3L1","Astro","HAvYA",0.00756847782681093,0.924426800448655,0.995173749462582
"NFE2","Astro","HAvYA",0.504143544253204,0.278860366077056,0.979336604887158
"TEF","Astro","HAvYA",-0.0154176512833424,0.88380771777977,0.988541523911787
"XBP1","Astro","HAvYA",0.0545852573580844,0.550741969508724,0.979336604887158
"FOXB1","Astro","HAvYA",-0.0172740348866157,0.91734446530721,0.992613754768314
