"motif","tf","celltype","dz","p","padj"
"MA1466.1","ATF6","Astro",0.0627470683710127,0.742986425339367,1
"MA1467.1","ATOH1(var.2)","Astro",-0.0833390008729206,0.4234471410942,1
"MA1468.1","ATOH7","Astro",-0.130949120696802,0.19958864664747,1
"MA1101.2","BACH2","Astro",0.613603875208682,0.672974084738791,1
"MA1470.1","BACH2(var.2)","Astro",0.142789100006383,0.19958864664747,1
"MA1471.1","BARX2","Astro",0.0460326366685496,0.962566844919786,1
"MA1472.1","BHLHA15(var.2)","Astro",-0.0842412331916843,0.541423282599753,1
"MA1473.1","CDX4","Astro",0.0563825767046522,0.888358700123406,1
"MA1474.1","CREB3L4","Astro",0.0538879775751164,0.742986425339367,1
"MA1475.1","CREB3L4(var.2)","Astro",0.12053956523399,0.742986425339367,1
"MA1476.1","DLX5","Astro",-0.0248925741169155,0.814808720691074,1
"MA1478.1","DMRTA2","Astro",0.0431625779023342,0.672974084738791,1
"MA1479.1","DMRTC2","Astro",0.038581136907323,0.672974084738791,1
"MA1480.1","DPRX","Astro",0.00193834826458644,0.742986425339367,1
"MA1481.1","DRGX","Astro",-0.0570548305044674,0.672974084738791,1
