cohort	celltype	perm	labels	n_sig_fdr005	n_sig_fdr01	n_sig_secretome_fdr005	n_sig_secretome_fdr01
GSE268609	OPC	25	11110011110000100	0	0	0	0
GSE268609	OPC	26	00110111001110001	0	1	0	1
GSE268609	OPC	27	01101110010010011	0	0	0	0
GSE268609	OPC	28	01001001011101101	1	1	0	0
GSE268609	OPC	29	10000111001011110	2	3	0	0
GSE268609	OPC	30	01100110001111010	0	0	0	0
GSE268609	OPC	31	11101111000110000	3	3	0	0
GSE268609	OPC	32	11001101111000010	2	2	0	0
GSE268609	OPC	33	11100111001000101	0	0	0	0
GSE268609	OPC	34	11110001010100110	0	0	0	0
GSE268609	OPC	35	01100011101100011	0	0	0	0
GSE268609	OPC	36	10110011110100001	0	0	0	0
GSE268609	OPC	37	10110000011111001	3	3	0	0
GSE268609	OPC	38	00110100100111110	4	5	0	0
GSE268609	OPC	39	11100010010110011	0	0	0	0
GSE268609	OPC	40	00111101100111000	1	1	0	0
GSE268609	OPC	41	00000011101111110	60	138	7	13
GSE268609	OPC	42	11101000000011111	547	1004	29	59
GSE268609	OPC	43	10110000111010011	0	0	0	0
GSE268609	OPC	44	01001011001101011	0	0	0	0
GSE268609	OPC	45	01100100101011101	68	97	7	10
GSE268609	OPC	46	00111000011011101	1	1	0	0
GSE268609	OPC	47	11010011000100111	0	0	0	0
GSE268609	OPC	48	11011101000100101	0	0	0	0
GSE268609	OPC	49	11111010100100100	0	0	0	0
GSE268609	OPC	50	00011110110000111	0	0	0	0
GSE268609	OPC	51	11100001100111010	0	0	0	0
GSE268609	OPC	52	01011010101010110	1	3	0	0
GSE268609	OPC	53	00011100101111010	0	0	0	0
GSE268609	OPC	54	00100111100100111	0	0	0	0
GSE268609	OPC	55	01000011111100011	0	0	0	0
GSE268609	OPC	56	10101110000011011	0	0	0	0
GSE268609	OPC	57	11101000001110011	0	0	0	0
GSE268609	OPC	58	00101000111101110	0	0	0	0
GSE268609	OPC	59	01110100010111100	1	3	0	0
GSE268609	OPC	60	10011101100101001	1	2	0	0
GSE268609	OPC	61	11100010110100101	0	0	0	0
GSE268609	OPC	62	00110010010110111	6	8	1	1
GSE268609	OPC	63	01110011001110100	0	0	0	0
GSE268609	OPC	64	01010001011110011	0	0	0	0
GSE268609	OPC	65	01000101010111110	0	0	0	0
GSE268609	OPC	66	10011011010010011	15	17	0	0
GSE268609	OPC	67	10001001101101011	0	0	0	0
